"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1069","Добавление новой задачи","chromium","2026-03-25","passed","2026-03-25","","0.todo.spec.js","",""
"","0","Пользователь может изменить свое имя в профиле","chromium","2026-03-25","skipped","2026-03-25","","4.spec.js","",""
"","1","Пользователь может зарегистрироваться используя email и пароль","chromium","2026-03-25","skipped","2026-03-25","","1.spec.js","",""
"","5033","Визуальная регреcсия главной страницы","chromium","2026-03-25","failed","2026-03-25","","extended.spec.js","",""
"","4831","Пользователь может изменить свое имя в профиле","chromium","2026-03-25","passed","2026-03-25","","5.spec.js","",""
"","5018","Пользователь создает новую статью","chromium","2026-03-25","passed","2026-03-25","","5.spec.js","",""
"","6807","Пользователь редактирует статью","chromium","2026-03-25","passed","2026-03-25","","6.spec.js","",""
"","1279","Удаление выполненной задачи","chromium","2026-03-25","passed","2026-03-25","","0.todo.spec.js","",""
"","5878","Пользователь оставляет комментарий к статье","chromium","2026-03-25","passed","2026-03-25","","6.spec.js","",""
"","782","проверить количество challenges","chromium","2026-03-25","failed","2026-03-25","Challenge","api.spec.js","",""
"","3382","Пользователь может зарегистрироваться используя email и пароль Page Object","chromium","2026-03-25","passed","2026-03-25","","5.spec.js","",""
"","3829","Визуальная регреcсия главной страницы с добавлением данных","chromium","2026-03-25","failed","2026-03-25","","extended.spec.js","",""
"","6632","Пользователь удаляет статью","chromium","2026-03-25","passed","2026-03-25","","6.spec.js","",""
"","0","Пользователь может изменить свое имя в профиле","chromium","2026-03-25","skipped","2026-03-25","","3.spec.js","",""
"","220","Получить список челленджей","chromium","2026-03-25","failed","2026-03-25","Challenge with service","apiPattrens.spec.js","",""
"","3234","Фикстура 2","chromium","2026-03-25","passed","2026-03-25","","7.spec.js","",""
"","4762","Пользователь может изменить свое имя в профиле","chromium","2026-03-25","passed","2026-03-25","","6.spec.js","",""
"","3190","Пользователь может зарегистрироваться используя email и пароль Page Object","chromium","2026-03-25","passed","2026-03-25","","6.spec.js","",""
"","6691","Пользователь удаляет статью","chromium","2026-03-25","passed","2026-03-25","","5.spec.js","",""
"","2","Фикстура парамтеризированная","chromium","2026-03-25","passed","2026-03-25","","7.spec.js","",""
"","141","Получить список туду","chromium","2026-03-25","failed","2026-03-25","Challenge with service","apiPattrens.spec.js","",""
"","0","Пользователь может зарегистрироваться используя email и пароль","chromium","2026-03-25","skipped","2026-03-25","","4.spec.js","",""
"","7911","Визуальная регреcсия авторизация","chromium","2026-03-25","failed","2026-03-25","","extended.spec.js","",""
"","1","Пользователь может зарегистрироваться используя email и пароль","chromium","2026-03-25","skipped","2026-03-25","","3.spec.js","",""
"","6903","Пользователь редактирует статью","chromium","2026-03-25","passed","2026-03-25","","5.spec.js","",""
"","1614","Пользователь может заказать бургер","chromium","2026-03-25","passed","2026-03-25","","2.spec.js","",""
"","1149","Добавление новой задачи и перевод ее в состояние выполнено","chromium","2026-03-25","passed","2026-03-25","","0.todo.spec.js","",""
"","3800","Визуальная регреcсия главной страницы с моком данных","chromium","2026-03-25","failed","2026-03-25","","extended.spec.js","",""
"","3280","Фикстура 1","chromium","2026-03-25","passed","2026-03-25","","7.spec.js","",""
"","5060","Пользователь создает новую статью","chromium","2026-03-25","passed","2026-03-25","","6.spec.js","",""
"","5881","Пользователь оставляет комментарий к статье","chromium","2026-03-25","passed","2026-03-25","","5.spec.js","",""
"","7722","Визуальная регреcсия снапшоты главной страницы","chromium","2026-03-25","failed","2026-03-25","","extended.spec.js","",""
"","3","Фикстура парамтеризированная с дефолтным значением","chromium","2026-03-25","passed","2026-03-25","","7.spec.js","",""
